CurrentWeight,DreamWeight,Goal,monday,tuesday,wednesday,thursday,friday,saturday,sunday
64,69,Gain,Shoulders + Abs,Chest + Triceps,Full Body Strength,Chest + Triceps,Shoulders + Abs,Glutes + Core,Shoulders + Abs
75,83,Gain,Chest + Triceps,Glutes + Core,Shoulders + Abs,Chest + Triceps,Shoulders + Abs,Glutes + Core,Back + Biceps
108,118,Gain,Back + Biceps,Shoulders + Abs,Chest + Triceps,Legs,Glutes + Core,Chest + Biceps,Full Body Strength
118,124,Gain,Legs,Glutes + Core,Glutes + Core,Legs,Chest + Biceps,Back + Biceps,Back + Biceps
92,78,Lose,Cardio + Legs,Cardio Endurance,Cardio + Core,Cardio Endurance,HIIT + Full Body,Cardio + Abs,Cardio Endurance
98,89,Lose,Core Focus,Cardio + Legs,Cardio + Abs,Cardio Endurance,Cardio + Abs,Core Focus,Cardio + Abs
99,98,Lose,Cardio + Core,Cardio + Abs,Full Body HIIT,HIIT + Full Body,Cardio Endurance,Core Focus,Full Body HIIT
67,82,Gain,Chest + Biceps,Shoulders + Abs,Glutes + Core,Shoulders + Abs,Back + Biceps,Full Body Strength,Legs
55,64,Gain,Legs,Back + Biceps,Chest + Triceps,Back + Biceps,Back + Biceps,Shoulders + Abs,Shoulders + Abs
102,97,Lose,Cardio Endurance,Cardio + Legs,HIIT + Full Body,Cardio + Abs,Cardio Endurance,Cardio + Abs,HIIT + Full Body
46,58,Gain,Chest + Biceps,Glutes + Core,Glutes + Core,Chest + Triceps,Shoulders + Abs,Chest + Biceps,Shoulders + Abs
82,76,Lose,Core Focus,HIIT + Full Body,Cardio + Legs,Cardio + Legs,Cardio + Core,Core Focus,HIIT + Full Body
48,46,Lose,Core Focus,Cardio + Legs,Cardio + Legs,Cardio + Core,Full Body HIIT,Cardio Endurance,Cardio Endurance
112,105,Lose,Core Focus,HIIT + Full Body,Cardio + Legs,Core Focus,Cardio + Legs,Core Focus,Core Focus
55,47,Lose,Cardio + Abs,Cardio + Legs,Core Focus,Cardio Endurance,Core Focus,Cardio + Legs,Cardio + Legs
118,129,Gain,Chest + Triceps,Shoulders + Abs,Chest + Triceps,Chest + Biceps,Chest + Triceps,Shoulders + Abs,Back + Biceps
75,77,Gain,Back + Biceps,Legs,Shoulders + Abs,Chest + Biceps,Legs,Full Body Strength,Chest + Triceps
46,47,Gain,Chest + Biceps,Full Body Strength,Glutes + Core,Back + Biceps,Shoulders + Abs,Chest + Biceps,Legs
119,124,Gain,Back + Biceps,Legs,Glutes + Core,Chest + Triceps,Chest + Triceps,Chest + Biceps,Glutes + Core
97,97,Maintain,Jogging + Core,Strength Light,Yoga + Full Body,Yoga + Core,Cardio + Flex,Strength + Flexibility,HIIT + Core
94,98,Gain,Chest + Biceps,Chest + Biceps,Chest + Biceps,Shoulders + Abs,Full Body Strength,Shoulders + Abs,Full Body Strength
54,56,Gain,Glutes + Core,Chest + Biceps,Chest + Biceps,Legs,Legs,Full Body Strength,Shoulders + Abs
56,55,Lose,Cardio + Core,Core Focus,Cardio + Core,Core Focus,Cardio + Core,Cardio + Abs,Core Focus
48,42,Lose,Cardio + Abs,Cardio + Legs,Full Body HIIT,Cardio Endurance,HIIT + Full Body,Full Body HIIT,Cardio + Legs
108,96,Lose,Core Focus,Cardio + Abs,Cardio Endurance,HIIT + Full Body,Cardio + Core,Cardio + Abs,Cardio + Abs
97,99,Gain,Glutes + Core,Glutes + Core,Glutes + Core,Shoulders + Abs,Shoulders + Abs,Full Body Strength,Glutes + Core
51,62,Gain,Chest + Biceps,Shoulders + Abs,Chest + Biceps,Full Body Strength,Legs,Legs,Glutes + Core
46,59,Gain,Legs,Back + Biceps,Back + Biceps,Back + Biceps,Chest + Triceps,Legs,Full Body Strength
60,75,Gain,Full Body Strength,Legs,Chest + Triceps,Back + Biceps,Chest + Triceps,Full Body Strength,Back + Biceps
104,91,Lose,Full Body HIIT,Cardio + Abs,Core Focus,Cardio + Legs,Core Focus,Cardio + Core,HIIT + Full Body
