current_weight,desired_weight,recommended_calories,diet_type,meals,what_to_eat
119.4,104.9,2869,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
76.8,76.4,1629,vegan,2 meals + 3 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
56.4,61.4,2080,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
104.7,96.3,2348,keto,4 small meals,"Avocado, cheese, eggs, fatty fish, nuts"
45.3,51.5,1843,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
48.4,54.8,1833,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
47.8,36.4,995,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
74.8,87.1,2951,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
63.0,51.2,1382,keto,3 meals + 2 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
105.7,107.4,3823,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
77.4,67.5,1744,vegan,3 meals + 2 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
95.0,104.7,3677,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
102.0,108.3,3943,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
92.5,81.2,2194,vegan,2 meals + 3 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
113.3,100.8,2572,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
74.8,76.6,2730,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
52.1,66.1,2216,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
77.4,87.5,3100,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
82.6,68.3,1940,vegan,3 meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
94.9,80.8,2211,vegan,3 meals + 2 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
58.3,62.2,2170,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
92.6,93.2,3617,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
84.5,83.4,1914,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
68.1,76.4,2608,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
92.8,82.9,2207,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
85.3,82.8,1898,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
50.4,50.4,1512,balanced,3 meals + 2 snacks,"Brown rice, mixed vegetables, lean meats, fruits, nuts"
68.1,69.3,2518,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
49.4,53.3,1880,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
49.5,63.3,1890,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
90.1,97.1,3385,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
79.2,88.7,2900,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
78.2,73.6,1741,keto,Intermittent fasting (2 meals),"Avocado, cheese, eggs, fatty fish, nuts"
45.1,45.1,1353,balanced,4 small meals,"Brown rice, mixed vegetables, lean meats, fruits, nuts"
64.7,73.2,2660,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
91.4,90.5,2110,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
90.5,102.2,3406,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
45.8,56.7,1899,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
98.2,92.5,2174,low carb,3 meals + 2 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
72.4,84.0,2696,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
107.4,108.6,4062,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
55.6,43.7,1159,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
118.8,120.7,4401,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
49.5,61.4,1997,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
110.8,125.0,4062,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
69.3,56.9,1454,low carb,3 meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
113.6,110.9,2546,low carb,2 meals + 3 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
81.2,68.3,1834,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
58.0,63.1,2329,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
92.8,102.0,3561,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
61.1,57.8,1343,vegan,2 meals + 3 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
112.4,105.2,2695,low carb,3 meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
47.8,42.3,1022,vegan,3 meals + 2 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
118.5,129.4,4248,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
119.9,111.3,2834,keto,3 meals + 2 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
84.5,80.1,1817,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
82.6,69.1,1780,vegan,2 meals + 3 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
76.2,74.2,1735,keto,Intermittent fasting (2 meals),"Avocado, cheese, eggs, fatty fish, nuts"
75.5,71.1,1704,vegan,3 meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
70.5,77.0,2743,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
69.7,66.7,1552,low carb,Intermittent fasting (2 meals),"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
52.7,63.4,2051,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
82.9,68.0,1821,vegan,3 meals + 2 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
115.3,126.2,4280,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
86.6,87.0,3317,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
89.4,90.5,3439,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
72.2,82.3,2769,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
100.5,104.7,3830,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
62.8,48.2,1305,vegan,3 meals + 2 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
